Time	Node	Type	Packets	
7	BTR1	CacheHits	0
7	BTR1	CacheMisses	958
7	BTR2	CacheHits	0
7	BTR2	CacheMisses	1364
7	BTR3	CacheHits	0
7	BTR3	CacheMisses	1262
7	BTR32	CacheHits	0
7	BTR32	CacheMisses	330
7	BTR4	CacheHits	0
7	BTR4	CacheMisses	1063
7	BTR42	CacheHits	0
7	BTR42	CacheMisses	1146
7	BTP1	CacheHits	0
7	BTP1	CacheMisses	6567
7	BTP2	CacheHits	0
7	BTP2	CacheMisses	6717
7	BTP3	CacheHits	0
7	BTP3	CacheMisses	7777
7	BTP4	CacheHits	0
7	BTP4	CacheMisses	7163
7	BTP32	CacheHits	0
7	BTP32	CacheMisses	3106
7	BTP42	CacheHits	0
7	BTP42	CacheMisses	7061
7	Cons1	CacheHits	0
7	Cons1	CacheMisses	1000
7	Cons2	CacheHits	0
7	Cons2	CacheMisses	1377
7	Prod11	CacheHits	0
7	Prod11	CacheMisses	2331
7	Prod12	CacheHits	0
7	Prod12	CacheMisses	1916
7	Prod21	CacheHits	0
7	Prod21	CacheMisses	513
7	Prod22	CacheHits	0
7	Prod22	CacheMisses	4582
8	Rtr1	CacheHits	2901
8	Rtr1	CacheMisses	2032
8	Rtr2	CacheHits	1514
8	Rtr2	CacheMisses	3322
8	Rtr3	CacheHits	1234
8	Rtr3	CacheMisses	2477
8	Rtr4	CacheHits	585
8	Rtr4	CacheMisses	4687
8	Rtr5	CacheHits	772
8	Rtr5	CacheMisses	1099
8	Rtr6	CacheHits	467
8	Rtr6	CacheMisses	1535
8	Rtr7	CacheHits	1234
8	Rtr7	CacheMisses	3729
8	Rtr8	CacheHits	1429
8	Rtr8	CacheMisses	2704
8	Rtr9	CacheHits	1917
8	Rtr9	CacheMisses	3623
8	Rtr10	CacheHits	0
8	Rtr10	CacheMisses	0
8	Rtr11	CacheHits	0
8	Rtr11	CacheMisses	0
8	BTR1	CacheHits	0
8	BTR1	CacheMisses	1241
8	BTR2	CacheHits	0
8	BTR2	CacheMisses	1073
8	BTR3	CacheHits	0
8	BTR3	CacheMisses	234
8	BTR32	CacheHits	0
8	BTR32	CacheMisses	0
8	BTR4	CacheHits	0
8	BTR4	CacheMisses	1189
8	BTR42	CacheHits	0
8	BTR42	CacheMisses	1337
8	BTP1	CacheHits	0
8	BTP1	CacheMisses	7437
8	BTP2	CacheHits	0
8	BTP2	CacheMisses	8006
8	BTP3	CacheHits	0
8	BTP3	CacheMisses	3347
8	BTP4	CacheHits	0
8	BTP4	CacheMisses	7132
8	BTP32	CacheHits	0
8	BTP32	CacheMisses	3
8	BTP42	CacheHits	0
8	BTP42	CacheMisses	7788
8	Cons1	CacheHits	0
8	Cons1	CacheMisses	1347
8	Cons2	CacheHits	0
8	Cons2	CacheMisses	960
8	Prod11	CacheHits	0
8	Prod11	CacheMisses	2656
8	Prod12	CacheHits	0
8	Prod12	CacheMisses	1284
8	Prod21	CacheHits	0
8	Prod21	CacheMisses	401
